g,theta,h,nc,tmax,tau_n,tau_m,Sn,Sm,Snm,IShannon,Rn,Rm,Rnm,IRenyi2,Rn3,Rm3,Rnm3,IRenyi3,Rn4,Rm4,Rnm4,IRenyi4
0.1,0,0,1000,50000000,35.8477032161437,35.8475640142925,6.58704412597902,6.58704198758742,12.7209416913158,0.453144422250647,6.48917418291854,6.48917345258403,12.4979773711122,0.480370264390359,6.44116604684123,6.44116539711802,12.3922275191422,0.49010392481707,6.41102680131807,6.41102616954868,12.3274980945192,0.494554876347529
0.31623,-0,0,1000,50000000,39.3467193391632,39.3467666497483,6.56852006806687,6.56851778966019,12.3346902543226,0.802347603404442,6.47471922115049,6.47471856719673,12.1032376045572,0.846200183789986,6.42845044376898,6.42844992357626,11.9938671486026,0.863033218742654,6.39916113172502,6.39916065209323,11.9270140163197,0.871307767498591
0,0,0,1000,50000000,34.7747351782003,34.7740904759816,6.73034950465073,6.7303466960981,13.4604629724776,0.000233228271262931,6.65183506766272,6.65183292855058,13.3036381303189,2.98658943602703e-05,6.61514612761231,6.61514408577846,13.230308182196,-1.79688052650562e-05,6.5929339750086,6.59293198403576,13.185880730759,-1.47717145964066e-05
1,0,0,1000,50000000,40.6626617496989,40.6626589749175,6.56188441848269,6.56188362255829,12.0441267731711,1.07964126786985,6.47102064430417,6.47102042215564,11.8096831183511,1.13235794810877,6.42601530942682,6.42601513249651,11.6989937632803,1.15303667864303,6.39737117437403,6.39737101224103,11.6313458137002,1.16339637291481
3.16227766016838,0,0,1000,20000000,41.9265964352749,41.9266224871364,6.55926835515163,6.55926804938768,11.8883083976441,1.23022800689523,6.46972025629125,6.46972018409276,11.6531617331654,1.28627870721859,6.42524428029917,6.42524422425638,11.5420290902562,1.30845941429934,6.39687435112769,6.39687430001931,11.4740374386437,1.31971121250334
0.01,0,0,100,50000000,9.18447284714183,9.18448277740936,5.00431695293853,5.00431665943309,10.00456013745,0.0040734749216309,4.91833065825904,4.91833050027098,9.83186438889555,0.00479676963447062,4.87803958335854,4.87803947294854,9.75094615368696,0.00513290262012056,4.85356320164784,4.85356311793347,9.70179622919193,0.00533009038937315
0.1,0,0,100,50000000,7.47204824365977,7.47201457519867,4.92710557935401,4.92710533801923,9.72191393075305,0.132296986620188,4.82435259783376,4.82435236342136,9.50893189749059,0.139773063764542,4.77419686666789,4.77419663053133,9.40723674384937,0.141156753349847,4.74288583813264,4.74288560424552,9.34464744555881,0.141123996819356
0.316228,0,0,100,50000000,7.67133263695054,7.67126462586315,4.88922493804979,4.88922445721233,9.44373413969165,0.334715255570467,4.78052882942093,4.78052861777002,9.21135620214539,0.349701245045551,4.72641438148461,4.72641421551144,9.10057389014836,0.352254706847692,4.69219687885055,4.69219673160162,9.0323304883495,0.352063122102674
0,0,0,100,50000000,10.1383691418811,10.1383739162835,5.02397612917764,5.02397575256641,10.0479655779973,-1.36962532284457e-05,4.94184112753387,4.94184115757198,9.88361527033164,6.70147742170002e-05,4.90375019372657,4.9037503006839,9.80739327037127,0.000107224039206599,4.8807870167565,4.88078716517555,9.76143751610504,0.000136665827017879
1,0,0,100,50000000,8.23587765497353,8.23584265632131,4.87023996040514,4.870239779357,9.19980389196379,0.540675847798354,4.76147110891529,4.76147105559498,8.95852396593059,0.564418198579677,4.70655276001014,4.70655271714877,8.84355353884705,0.569551938311857,4.6714486819934,4.67144864278795,8.77268102807545,0.570216296705912
10,0,0,100,50000000,8.97622655711829,8.97622076196688,4.85994149043942,4.8599414239257,8.99952425409464,0.720358660270483,4.75266329202881,4.75266327158623,8.75478188386102,0.750544679754015,4.69785776398519,4.69785774593662,8.63779465218327,0.757920857738545,4.66252223265275,4.66252221526659,8.56545730290657,0.759587145012777
3.16227766016838,0,0,100,50000000,8.7580952967065,8.75809328845467,4.86254682955454,4.86254681356765,9.05872472879264,0.666368914329542,4.75480113398537,4.75480113327037,8.81472179927313,0.694880467982609,4.69995397520824,4.69995398076931,8.69825477372118,0.70165318225637,4.66468189460505,4.6646819054292,8.62632678252799,0.703037017506258
0.1,0,0,1059,50000000,37.2975465391719,37.2976441849498,6.62906256142328,6.62906141307454,12.7943800232155,0.463743951282364,6.53140885724298,6.53140852208417,12.5712187330676,0.491598646259524,6.48351169979933,6.4835114346409,12.465391219676,0.50163191476425,6.45344539416385,6.45344515245848,12.4006156530098,0.506274893612561
0.31623,-0,0,1059,50000000,40.8415307701166,40.8414491651606,6.61105298974399,6.61105217912998,12.4065147496607,0.81559041921329,6.51774229734159,6.51774213202432,12.1752587156716,0.86022571369435,6.47174831146543,6.4717481740479,12.0660216119528,0.877474873560541,6.44263608047224,6.44263595180689,11.9992682396663,0.886003792612819
0,0,0,1059,50000000,35.6863887514507,35.6863313348943,6.77315489934065,6.77315364835219,13.545979498411,0.000329049281839744,6.69482961700889,6.69482873648848,13.3893986928301,0.000259660667232708,6.65822848684504,6.65822755652436,13.3162038727307,0.000252170638667337,6.63607273963011,6.63607176550717,13.2718782530792,0.000266252058095162
1,0,0,1059,20000000,41.4142283434348,41.4144660535072,6.60410715860487,6.60410526913141,12.1150088797199,1.09320354801637,6.51369863050978,6.5136978892271,11.880741208983,1.14665531075384,6.46904195632845,6.46904135657256,11.770255512366,1.16782780053503,6.44067834489808,6.44067779170543,11.7027997226748,1.17855641392868
3.16227766016838,0,0,1059,20000000,43.1422245490283,43.1421569593833,6.60189680751942,6.60189605612737,11.9592373947937,1.2445554688531,6.51275489849012,6.51275466009524,11.7242979086301,1.30121164995531,6.46852803140522,6.46852785104334,11.6132894596236,1.32376642282494,6.44033409400774,6.44033393567929,11.5453900917982,1.33527793788885
0.01,0,0,106,50000000,9.45252062884574,9.45247605303518,5.04674107535018,5.04674037255704,10.0891124326004,0.00436901530683187,4.96075388829204,4.96075344648415,9.91637586938208,0.0051314653941148,4.92043817935321,4.92043782785893,9.83538041523514,0.00549559197699878,4.89593651438525,4.89593619873022,9.78616210077373,0.00571061234173165
